Starting Training: 488 updates expected.
Update 82/488 | True Score: 803.47 | Optim Score: 734.93 | Std: 0.6210
Update 83/488 | True Score: 878.22 | Optim Score: 807.30 | Std: 0.6198
Update 84/488 | True Score: 656.87 | Optim Score: 600.66 | Std: 0.6160
Update 85/488 | True Score: 752.00 | Optim Score: 684.34 | Std: 0.6136
Update 86/488 | True Score: 728.99 | Optim Score: 661.42 | Std: 0.6235
Update 87/488 | True Score: 950.88 | Optim Score: 881.89 | Std: 0.6225
Update 88/488 | True Score: 794.30 | Optim Score: 728.71 | Std: 0.6091
Update 89/488 | True Score: 731.17 | Optim Score: 679.22 | Std: 0.6111
Update 90/488 | True Score: 691.72 | Optim Score: 626.04 | Std: 0.6227
Update 91/488 | True Score: 743.98 | Optim Score: 680.12 | Std: 0.6205
Update 92/488 | True Score: 732.30 | Optim Score: 668.03 | Std: 0.6231
Update 93/488 | True Score: 851.26 | Optim Score: 787.12 | Std: 0.6014
Update 94/488 | True Score: 871.13 | Optim Score: 809.47 | Std: 0.5983
Update 95/488 | True Score: 812.77 | Optim Score: 751.89 | Std: 0.5932
Update 96/488 | True Score: 876.40 | Optim Score: 814.04 | Std: 0.5884
Update 97/488 | True Score: 711.44 | Optim Score: 647.44 | Std: 0.5847
Update 98/488 | True Score: 502.23 | Optim Score: 451.84 | Std: 0.5797
Update 99/488 | True Score: 612.68 | Optim Score: 553.89 | Std: 0.5729
Update 100/488 | True Score: 783.18 | Optim Score: 721.34 | Std: 0.5612
Update 101/488 | True Score: 740.50 | Optim Score: 681.59 | Std: 0.5545
Update 102/488 | True Score: 792.66 | Optim Score: 736.13 | Std: 0.5532
Update 103/488 | True Score: 447.69 | Optim Score: 389.30 | Std: 0.5564
Update 104/488 | True Score: 675.67 | Optim Score: 628.33 | Std: 0.5654
Update 105/488 | True Score: 607.29 | Optim Score: 548.20 | Std: 0.5645
Update 106/488 | True Score: 910.57 | Optim Score: 850.37 | Std: 0.5618
Update 107/488 | True Score: 710.36 | Optim Score: 653.25 | Std: 0.5586
Update 108/488 | True Score: 752.37 | Optim Score: 692.65 | Std: 0.5684
Update 109/488 | True Score: 823.73 | Optim Score: 763.71 | Std: 0.5700
Update 110/488 | True Score: 789.93 | Optim Score: 730.45 | Std: 0.5708
Update 111/488 | True Score: 464.54 | Optim Score: 417.24 | Std: 0.5706
Update 112/488 | True Score: 616.57 | Optim Score: 560.27 | Std: 0.5650
Update 113/488 | True Score: 433.01 | Optim Score: 380.50 | Std: 0.5732
Update 114/488 | True Score: 652.66 | Optim Score: 596.97 | Std: 0.5735
Update 115/488 | True Score: 715.57 | Optim Score: 661.27 | Std: 0.5784
Update 116/488 | True Score: 817.54 | Optim Score: 761.84 | Std: 0.5775
Update 117/488 | True Score: 659.03 | Optim Score: 604.18 | Std: 0.5774
Update 118/488 | True Score: 671.12 | Optim Score: 627.82 | Std: 0.5849
Update 119/488 | True Score: 730.44 | Optim Score: 676.56 | Std: 0.5753
Update 120/488 | True Score: 747.90 | Optim Score: 694.49 | Std: 0.5629
Update 121/488 | True Score: 865.24 | Optim Score: 808.54 | Std: 0.5649
Update 122/488 | True Score: 860.48 | Optim Score: 803.35 | Std: 0.5761
Update 123/488 | True Score: 752.30 | Optim Score: 696.86 | Std: 0.5696
Update 124/488 | True Score: 580.04 | Optim Score: 537.33 | Std: 0.5698
Update 125/488 | True Score: 850.05 | Optim Score: 796.15 | Std: 0.5736
Update 126/488 | True Score: 871.01 | Optim Score: 815.02 | Std: 0.5733
Update 127/488 | True Score: 821.55 | Optim Score: 766.45 | Std: 0.5777
Update 128/488 | True Score: 747.32 | Optim Score: 691.69 | Std: 0.5863
Update 129/488 | True Score: 864.77 | Optim Score: 806.01 | Std: 0.5836
